"English","Italian","Success","Total"
"to go out, conjugated in imperative","-*esci*esca*usciamo*uscite*escano",2,3
"elderly","anziana",2,3
"Don't be so annoying (slang)","Non mi rompere i maroni",13,20
"at last","infine",8,14
"to resume","riprendere",9,14
"to be, conjugated in imperfect subjunctive","fossi*fossi*fosse*fossimo*foste*fossero",7,12
"only","soltanto",8,12
"on the contrary","anzi",9,12
"to laugh","redere",7,10
"the opposite","il contrario",8,10
"Speak your mind (slang)","Non avere peli sulla lingua",13,23
"to come, conjugated in past participle","essere venuto/a/i/e",13,21
"anytime","in qualsiasi momento",4,8
"to turn","rivolgere",5,8
"to worry","preoccuparsi",13,21
"mastery, command","padronanza",6,8
"curl, lock","riccio",5,8
"shiny","lucente",6,8
"to ask for","chiedere",18,32
"as <adjective> as","cosi <aggettivo> come, tanto <aggettivo> quanto",19,32
"to give, conjugated in imperfect subjunctive","dessi*dessi*desse*dessimo*deste*dessero",10,19
"near","appresso",10,19
"to go, conjugated in imperative","-*va*vada*andiamo*andate*vadano",2,6
"badger","tasso",2,6
"to tear","lacerare",3,6
"amazing","stupefacente, strabiliante",8,17
"to have, conjugated in conditional","avrei*avresti*avrebbe*avremmo*avreste*avrebbero",4,6
"to hold/keep, conjugated in present tense","tengo*tieni*tiene*teniamo*tenete*tengono",4,6
"to represent, to portray","figurare",4,6
"end, extremity","estremità",5,6
"wild","selvaggio",3,6
"to bear","sopportare",5,6
"to explain","spiegare",17,28
"to drink, conjugated in imperfect (past)","bevevo*bevevi*beveva*bevevamo*bevevate*bevevano",4,6
"to drink, conjugated in imperfect subjunctive","bevessi*bevessi*bevesse*bevessimo*beveste*bevessero",4,6
"to tell a story","raccontare",5,6
"break, fracture","frattura",5,6
"stereotypes","luogo commune",6,6
"long","lunghi, lungo",6,6
"to choose, conjugated in past participle","avere scelto",26,48
"to meet, conjugated in future tense","incontrerò*incontrerai*incontrerà*incontreremo*incontrerete*incontreranno",9,15
"tacere","to keep quiet, to fall silent",15,24
"almost, nearly","quasi",30,51
"some","qualche",35,60
"sunny","assolato",2,4
"to drink, conjugated in present tense","bevo*bevi*beve*beviamo*bevete*bevono",3,4
"bride","sposa",3,4
"next day","indomani",2,4
"crow, raven","corvo",2,4
"to risk","rischiare",3,4
"a start/surprise","soprassalto",3,4
"to hang","pendere",3,4
"right, permitted, allowed","lecito",9,13
"to put to bed","mettere a letto",4,4
"to go, conjugated in future tense","andrò*andrai*andrà*andremo*andrete*andranno",4,4
"to encircle","cingere",8,13
"and yet","eppure",3,4
"pair","paio",3,4
"to eat, conjugated in imperative","-*mangia*mangi*mangiamo*mangiate*mangino",4,4
"mistake","sbaglio",4,4
"to do/make, conjugated in imperfect (past)","facevo*facevi*faceva*facevamo*facevate*facevano",3,4
"to walk, stroll","incamminare",4,4
"to indicate","indicare",4,4
"good sense","buonsenso",4,4
"to put, conjugated in past participle","avere messo",13,20
"might as well","tanto vale",6,11
"to come, conjugated in future tense","verrò*verrai*verrà*verremo*verrete*verranno",6,11
"no one","nessuno",8,11
"lately","ultimamente",7,11
"clothes","abiti",8,11
"to get better, heal","guarire",8,11
"to change","modificare, cambiare",9,11
"to joke","scherzare",12,18
"closet","ripostiglio",1,2
"to stop, cease","smettere",0,2
"relief","sollievo",5,9
"sound, noise","rumore",6,9
"services","servigi",2,2
"sermon, lecture","predica",9,16
"friendship","amicizia",6,9
"slot, crack","fessura",2,2
"unknown","sconosciuto",10,16
"to beat, hit, win","battere",2,2
"to come, conjugated in present tense","vengo*vieni*viene*veniamo*venite*vengono",6,9
"if only/I wish","magari",7,9
"to stay, conjugated in past participle","essere stato/a/i/e",7,9
"thin","sottile",11,16
"to swim","nuotare",11,16
"what a shame!","che peccato!",7,9
"cool","figo",7,9
"to transfer","trasferire",2,2
"to waste","sprecare",12,21
"beside","accanto a",15,21
"to be born","nascere",10,14
"They have just arrived","Sono appena arrivati",10,14
"inspiration/good idea","ispirazione",10,14
"to slam","sbattere",14,26
"who cares (slang)","me ne frega",15,26
"often","spesso",30,50
"dream","sogno",5,7
"to behave","comportare",5,7
"face","volto, faccia",5,7
"to keep an eye on","tenere d'occhio",5,7
"to put, conjugated in imperfect (past)","mettevo*mettevi*metteva*mettevamo*mettevate*mettevano",5,7
"stations, posts","postazioni",5,7
"to move away, to push out","allontanarsi",6,7
"spring","molla, la primavera",14,19
"to remain","rimanere",6,7
"where are you from","di dove sei",6,7
"to shout","gridare",6,7
"May I speak?","Potrei parlare?",6,7
"You Know Who","Lei-Sa-Chi",6,7
"watch out!","attento!",6,7
"cloudy","nuvoloso",6,7
"to put, conjugated in future tense","metterò*metterai*metterà*metteremo*metterete*metteranno",7,7
"to ask for, conjugated in past participle","essere chiesto/a/i/e",21,36
"also","anche, pure",25,41
"to dare","osare",8,12
"to miss","mancare",9,12
"helpless","indifeso",8,12
"narrow","strette",8,12
"ready","pronto",27,44
"to rain","piovere",14,22
"under","sotto",22,37
"already","già",26,42
"to go up/climb, conjugated in imperative","-*sali*salga*saliamo*salite*salgano",2,5
"to chuckle","ridacchiare",8,15
"to stay, to remain","restare",3,5
"every now and then","ogni tanto",9,15
"clothing","l'abbigliamento",3,5
"to come, conjugated in imperfect (past)","venivo*venivi*veniva*venivamo*venivate*venivano",4,5
"a few","alcuni",32,55
"mood","umore",4,5
"alleyway","vialetto",7,10
"ball","palla",5,5
"to slobber, stutter","biascicare",0,0
"sale","saldi",8,10
"to land","atterrare",5,5
"excellent","ottima",7,10
"bigger","maggiore, più grande",8,10
"age","età",5,5
"to descend, conjugated in past participle","essere sceso/a/i/e",24,40
"to hurry","affrettarsi",9,15
"To celebrate","festeggiare",7,10
"glasses","occhiali",7,10
"a certain amount of, some","alquanto",8,10
"there","là, lì",14,20
"to attach, conjugated in conditional","allegherei*allegheresti*allegherebbe*allegheremmo*alleghereste*allegherebbero",4,5
"to renew","rinnovare",4,5
"cheers","evviva",5,5
"to flirt","flirtare",5,5
"to repent","pentirsi",13,20
"to prefer, conjugated in present subjunctive","preferisca*preferisca*preferisca*preferiamo*preferiate*preferiscano",8,10
"green","verde",5,5
"bubble","bolle",5,5
"silent","silenziosa",7,10
"to put on","mettersi",9,10
"chocolate","cioccolato",5,5
"living room","soggiorno",5,5
"to be formal","fare complimenti",5,5
"to matter, to be important","importare",5,5
"come here!","vieni qui!",5,5
"to evict, turn out","sloggiare",0,0
"to omit, to fail, to neglect","tralasciare",23,38
"early, soon","presto",22,33
"down, downstairs","giù",15,23
"by this time/at this point","oramai",12,18
"unwelcome","sgradito",10,18
"disorder, untidiness","disordine",12,18
"to stop","fermare",14,18
"to slip","scivolare",8,13
"to mean (I mean to go)","intendere",10,13
"in place of","al posto di",5,8
"Someone doing something intellectual without a clue what they're doing (slang)","Braccia rubate all'agricoltura",13,21
"To cheat on someone (slang)","Fare le corna a qualcuno",13,21
"to fall, conjugated as past participle","essere caduto/a/e/i",14,21
"therefore","dunque, perciò",15,21
"a list","elencare",14,21
"to recover, to rally","riprendersi",6,8
"nice to meet you","piacere, piacere di conoscerla",7,8
"his/her","suo/sua",8,8
"exclusion","esclusione",13,16
"storm","tempesta",2,3
"laundry","bucato",7,11
"to know, conjugated in imperative","-*sappi*sappia*sappiamo*sappiate*sappiano",1,3
"wrath, anger","ira",3,3
"to extend","estendere",3,3
"I have eaten already","Ho già mangiato",8,11
"to agree","accordarsi",7,11
"to realize","rendersi conto",7,11
"foam","schiuma",8,11
"to hide","nascondere",3,3
"to like it, conjugated in present tense","mi piace*ti piace*Le/gli/le piace*ci piace*vi piace*gli piace",13,19
"within","entro",13,19
"raggiungere","to catch up",8,11
"to take back, to retract","disdire",2,3
"to drum","tamburellare",3,3
"to tow/pick up women","rimorchiare",12,19
"relieved","sollevato",7,11
"there were","c'erano",19,27
"don't wait (formal)","non aspetti",8,11
"to understand, conjugated in present tense","capisco*capisci*capisce*capiamo*capite*capiscono",19,27
"soap","sapone",9,11
"To be cheap (slang)","Avere le braccine corte",12,19
"before","prima di",14,19
"to read, conjugated in conditional","leggerei*leggeresti*leggerebbe*leggeremmo*leggereste*leggerebbero",3,3
"God","Dio",3,3
"round, about","intorno",9,11
"mind, thoughts","animo",14,19
"to lift","sollevare",2,3
"to sob","singhiozzare",3,3
"to eat, conjugated in conditional","mangerei*mangeresti*mangerebbe*mangeremmo*mangereste*mangerebbero",3,3
"that's irrelevant (slang)","non c'entra",13,22
"to try to, to look for","cercare",17,22
"call (me, you, ...)","mi chiama*ti chiama*La/lo/la chiama*ci chiama*vi chiama*li/le chiama",9,14
"moment (i.e. for a moment)","attimo",10,14
"to offer, buy, pay","offrire",4,6
"until","fino a che",11,17
"to give, conjugated in present tense","do*dai*da*diamo*date*danno",4,6
"to win, conjugated in past participle","avere vinto",12,17
"to go up/climb","salire",5,6
"to start, conjugated in future tense","comincerò*comincerai*comincerà*cominceremo*comincerete*cominceranno",5,6
"to deal, to treat, to process, to handle","trattare",5,6
"there was","c'era",20,28
"to get drunk","ubriacarsi",4,6
"surrounded","circondava",5,6
"proud, fierce","fiero",5,6
"to strike dead, to go out","fulminare",5,6
"drinking","bevendo",6,6
"to eat lunch","pranzare",6,6
"instead","invece",5,6
"according to","secondo",6,6
"always","sempre",13,20
"According to Sarah, I should have studied more","Secondo Sarah, io avrei dovuto studiare di piu",13,20
"to go, conjugated in present tense","vado*vai*va*andiamo*andate*vanno",15,20
"around","intorno a",15,20
"to become","divenire",21,34
"to start, to jog","avviarsi",5,9
"to cry","piangere",15,23
"to have, conjugated in imperfect subjunctive","avessi*avessi*avesse*avessimo*aveste*avessero",6,9
"so","talmente, cosi",6,9
"to choose/select","scegliere",7,9
"donut hole","castagnole",6,9
"to skate","patinare",8,9
"to stay, conjugated in imperfect subjunctive","stessi*stessi*stesse*stessimo*steste*stessero",6,9
"That's all","ecco tutto",7,9
"to finish, conjugated as past participle","avere finito",8,9
"sale (e.g. garage sale)","svendita",7,9
"to lose, conjugated in past participle","avere perso",8,9
"strong, large, stout","forte",9,9
"uscire","to go out",8,9
"to sell","vendere",9,9
"there are","ci sono",19,26
"something","qualcosa",19,26
"sleep","sonno",7,12
"comparison","confronto",6,12
"to hope","sperare",8,12
"masculine","mascile",8,12
"to become angy","arrabbiarsi",9,12
"how beautiful you are","quanto sei bello",9,12
"Happy Birthday","Buon Compleanno",10,12
"hardly ever (slang)","ogni morte di papa",9,12
"to be born, conjugated in past participle","essere nato/a/i/e",9,12
"tiring","faticosa",8,12
"both","entrambi",8,12
"to accept, to admit, to take in","accetare",10,12
"better","migliore, più buono",9,12
"painting, picture, image","quadro",9,12
"road signs","i segnali stradali",10,12
"on schedule","in orario",11,12
"to update","aggiornare",9,15
"sooner or later","prima poi",10,15
"to concern","riguardarsi",10,15
"To not show up (slang)","Tirare il pacco",10,15
"such that","tal e",11,15
"wrong","torto",10,15
"fun","divertimento",11,15
"married","sposato",12,15
"abroad","estero",12,18
"to get up","alzarsi",12,18
"Piss off (slang)","Vai a farti benedire / Vai a quel paese",12,18
"women","donne",14,18
"to sell, conjugated as past participle","avere venduto",12,18
"che casino","what a mess (slang)",12,18
"however","tuttavia",14,18
"up, upstairs","su",14,18
"to move out, to evacuate","sgomberare",14,21
"seasons","stagioni",16,24
"to close","chiudere",17,24
"to do/make, conjugated in imperative","-*fa'*faccia*facciamo*fate*facciano",3,4
"group, knot","groppo",3,4
"to give, conjugated in conditional","darei*daresti*darebbe*daremmo*dareste*darebbero",3,4
"to wear","indossare",5,7
"to watch over","sorvegliare",3,4
"to radiate","emanare",3,4
"to engage","ingaggiare ",1,1
"bucket, pail","secchio",7,10
"to have, conjugated in present subjunctive","abbia*abbia*abbia*abbiamo*abbiate*abbiano",6,10
"fog, haze","nebbia",8,13
"behind, in back of","dietro a",14,22
"absolutely","assolutamente",4,4
"argument","argomento",4,4
"sick","malato",3,4
"whining","lagnosa",4,7
"to play (an instrument), conjugated in imperfect (past)","suonavo*suonavi*suonava*suonavamo*suonavate*suonavano",5,7
"to wake up","svegliarsi",6,7
"to mutter","bofonchiare",6,7
"to be wrong, to make a mistake","sbagliare",13,19
"to trust","fidarsi",6,7
"pause","sosta",6,10
"fair enough, that's right","giusto",7,10
"today","oggi",9,10
"eggs","uova",8,10
"how boring (slang)","che barba",10,16
"now","adesso",14,19
"wife","la moglie",20,28
"out of the way!","fuori dai piedi",2,4
"edge","bordo",1,1
"to be able to, conjugated in future tense","potrò*potrai*potrà*potremo*potrete*potranno",3,4
"glass","vetro",2,4
"pose","posa",4,4
"to be, conjugated in present tense","sono*sei*è*siamo*siete*sono",7,10
"to have to","bisognare, dovere",28,40
"To not be disgusted by anything","avere il pelo sullo stomaco",11,16
"to be, conjugated in past participle","essere stato",4,4
"inside","dentro",11,13
"post office","l'ufficio postale",19,25
"lunch","pranzo",8,10
"tree","albero",17,22
"to jump","saltare",6,7
"desert, empty, uninhabited","deserto",6,7
"ground floor","piano terra",7,7
"saying","dicendo",4,4
"to look for, conjugated in future tense","cercherò*cercherai*cercherà*cercheremo*cercherete*cercheranno",4,4
"winter","l'inverno",9,10
"congratulation/well done","complimenti",4,4
"old","vecchio",15,19
"to cause, to give rise to, to produce","cagionare",12,16
"turn (i.e. turn to the left)","gira",12,16
"to ask","domandare",11,13
"tomato","pomodoro",8,10
"to hear","udire, sentire",6,7
"to occur","avvenire",6,7
"I'm sorry","mi dispiace",15,19
"their","loro",7,7
"to take, conjugated in past participle","avere preso",6,7
"on the","sul",6,7
"take a picture","fotografare",7,7
"to like","piacere",13,16
"men","uomini",13,16
"to misunderstand","fraintendere",3,4
"blue","blu",4,4
"comforting","confortante",4,4
"certainly","certamente",4,4
"John is taller than Mark","Giovanni è più alto di Marco",10,13
"at least","almeno",4,4
"while","mentre",15,19
"pancakes","frittelle",7,10
"to wait","aspettare, chiedere",8,10
"good heavens","santo cielo, caspita",9,10
"rule","regola",1,1
"to watch, conjugated in imperfect subjunctive","guardassi*guardassi*guardasse*guardassimo*guardaste*guardassero",6,7
"to bother","molestare",6,7
"to activate","attivare",7,7
"to be so-so","stare così così",7,7
"in vain, to no purpose","invano",9,10
"bowed, bent","chino",4,4
"desserts and sweets","i dolci",9,10
"He is nicer than he is intelligent","Lui è più simpatico che intelligente",9,10
"about, approximately","circa",20,29
"to know, conjugated in present tense","so*sai*sa*sappiamo*sapete*sanno",18,26
"closed","chiuso, chiusa",19,26
"vehicles","i veicoli",14,20
"to be able to, conjugated in present tense","posso*puoi*può*possiamo*potete*possono",15,20
"neither","neanche",11,17
"to say, conjugated in past participle","avere detto",12,17
"the head","la testa",13,17
"wine and drinks","i vine e gli alcolici",13,17
"appetizers","gli antipasti",14,17
"to succeed, to manage (i.e. he managed to smile)","riuscire",10,14
"soul, heart","anima",10,14
"to drive","guidare",10,14
"effort","sforzo",10,14
"chair","sedia",10,14
"piece of wood","pezzo de legno",11,14
"like this","così",11,14
"yet","ancora",12,14
"to want, conjugated in present tense","voglio*vuoi*vuole*vogliamo*volete*vogliono",20,30
"to sit","sedersi",8,11
"hundreds","centinaia",8,11
"to clean","pulire",8,11
"to run after","correre dietro a",8,11
"mai","never",9,11
"it's cold (weather)","fa freddo",10,11
"a fine","multe",9,11
"few","pochi",9,11
"to see, conjugated in past participle","avere visto",9,11
"word","parola",9,11
"to become bored","annoiarsi",8,11
"nap","pisolino",8,11
"to fall","cadere",9,11
"I'm thirsty","ho sete",10,11
"particular, special, peculiar, odd","particolare",10,11
"at the barber shop","dal barbiere",10,11
"to be (essere) in present subjunctive","sia*sia*sia*siamo*siate*siano",6,8
"hole","buco",6,8
"yellow","giallo",6,8
"just (i.e. I just ate)","appena",7,8
"to make a plan","fare una idea",6,8
"limit, border","termine",16,21
"everywhere","dovunque",15,21
"happiness","felicitá",16,21
"usually","di solito, normalmente",14,21
"to attach","allegare",7,8
"my","mio",8,8
"money","soldi",7,8
"Would you give me your pen?","Mi darebbe la sua penna?",7,8
"to wash oneself","lavarsi",7,8
"slow","lento",8,8
"punctual","puntuale",8,8
"to arrive, conjugated as past participle","essere arrivato/a/e/i",7,8
"parts of the body","le parti del corpo",8,8
"opposite","opposto, il contrario",8,8
"country","la paese",8,8
"I can't wait (slang)","non vedo l'ora",12,18
"a piece","un pezzo",14,18
"to be embarrassed","vergognarsi",12,18
"to be unwelcome (slang)","ricevuto come un cane in chiesa",12,18
"over there, down there","laggiù",13,18
"to disturb","turbare",4,5
"to survive","sopravvivere",4,5
"experts","esperti",5,5
"between","fra, tra",12,15
"female","femina",4,5
"same","medesimo, stesso",18,25
"to play, conjugated in conditional","giocherei*giocheresti*giocherebbe*giocheremmo*giochereste*giocherebbero",4,5
"together","insieme",5,5
"help","aiuto",5,5
"rain","pioggia",5,5
"to use","usare",5,5
"5 weeks left","Mancanno cinque settimane",5,5
"to have, conjugated in imperfect","avevo*avevi*aveva*avevamo*avevate*avevano",4,5
"to drink, conjugated in future tense","berrò*berrai*berrà*berremo*berrete*berranno",4,5
"sympathetic","simpatico",5,5
"to see, conjugated in future tense","vedrò*vedrai*vedrà*vedremo*vedrete*vedranno",4,5
"could you speak a little slower","potresti parlare un poco lentamente",11,15
"Thursday","giovedi",12,15
"last night","ieri sera",12,15
"wind","vento",5,5
"to give, conjugated in past participle","avere dato",5,5
"to work (my computer works)","funzionare",5,5
"well done!","bravo!",5,5
"hello","salve",13,15
"voice","voce",5,5
"don't wait (informal)","non aspettare",5,5
"to confuse","confondersi",5,5
"to have fun","divertirsi",5,5
"mud","fango",5,5
"churches","le chiese",13,15
"grandmother, grandfather","nonna, nonno",5,5
"windy","ventoso",5,5
"afternoon","pomeriggio",17,22
"Don't forget to return this (slang)","Si chiama Pietro e torna indietro",9,12
"Own up (slang)","Hai voluto la bicicletta? E adesso pedala!",9,12
"to say, conjugated in present tense","dico*dici*dice*diciamo*dite*dicono",7,12
"smile","sorriso",8,12
"to kid or tease (slang)","prendere in giro",9,12
"shock, blow","mazzata",8,12
"to begin","cominciare",10,12
"to listen","ascoltare",9,12
"referee","arbitro",9,12
"to doubt","dubitare",9,12
"peas","piselli",9,12
"week","la settimana",10,12
"salary","stipendio",11,12
"to go","andare",11,12
"seasoning, flavoring, dressing","condimento",11,12
"school","scuola",11,12
"mouthful, bite, morsel","boccone",14,19
"poor","povero",15,19
"to leave something","lasciare",14,19
"breakfast","la prima colazione",15,19
"at the border","al confine",15,19
"here","qui, qua",15,19
"to prefer","preferire",15,19
"occupations","i mestieri",23,33
"to pull","tirare",6,9
"back, rear","retro",1,2
"to agree","acconsentire",2,2
"to curse","maledire",2,2
"sofa","divano",2,2
"to pet","accarezzare",7,9
"warrior","guerriero",7,9
"weighed down, pregnant","gravidanza",7,9
"a question","una domanda",8,9
"football","calcio",8,9
"tomorrow","domani",22,30
"to do/make, conjugated in conditional","farei*faresti*farebbe*faremmo*fareste*farebbero",2,2
"to be, conjugated in future tense","sarò*sarai*sarà*saremo*sarete*saranno",2,2
"double","doppia",7,9
"summer","l'estate",17,23
"to predict, to foretell","predire",2,2
"morning","mattina",17,23
"to stay, conjugated in future tense","starò*starai*starà*staremo*starete*staranno",2,2
"typically","in genere",2,2
"to desire","desiderare",7,9
"stress","accento tonico",13,16
"sight-seeing","il giro turistico",13,16
"guest","ospite",7,9
"bag","borsa, busta",8,9
"poor little one","povero piccolo",8,9
"to study","studiare",9,9
"what","che cosa",8,9
"to want, conjugated in conditional","vorrei*vorresti*vorrebbe*vorremmo*vorreste*vorrebbero",2,2
"to feel, conjugated in future tense","sentirò*sentirai*sentirà*sentiremo*sentirete*sentiranno",8,9
"to sleep","dormire",9,9
"to finish","finire",9,9
"useless, unserviceable","inadoperabile",16,20
"jewelry","i gioielli",15,20
"announcement, news","avviso",15,20
"Friday","venerdi",16,20
"left","sinistra",10,13
"reason, cause, motive","motivo",11,13
"there is","c'e",11,13
"nurse","un'infermiera",10,13
"to speak","parlare",12,13
"to speak, conjugated in present tense","parlo*parli*parla*parliamo*parlate*parlano",18,24
"to be, conjugated in imperative","-*sii*sia*siamo*siate*siano",3,6
"dawn","alba",6,6
"to circumvent, to bypass","aggirarsi",11,17
"gray","grigio",5,6
"I've worked for three months","Lavoro da tre mesi",4,6
"see you tomorrow","ci vediamo domani",6,6
"to come, conjugated in conditional","verrei*verresti*verrebbe*verremmo*verreste*verrebbero",4,6
"fixed (as in eyes)","fisso",5,6
"to open, conjugated in past participle","avere aperto",6,6
"unusual","insolito",6,6
"watch","orologio",6,6
"plate","piatto, piastra",12,17
"half","metà ",5,6
"Good luck (slang)","In bocca al lupo, crepi il lupo",5,6
"to seem","sembrare",6,6
"to forget","dimenticarsi",6,6
"a week ago","una settemana fa",14,17
"Someone who can convince you of anything","venditore di fumo",6,6
"silver","argento",5,6
"I'm hungry","ho fame",6,6
"good luck","buona fortuna",6,6
"recreation","ricreazione",6,6
"What is it","che cos'è ",6,6
"naturally, by nature","naturalmente",6,6
"to write, conjugated in past participle","avere scritto",6,6
"dark","scuro",6,6
"leaving","partendo",6,6
"orange","arancia",16,21
"food","alimento, il cibo",16,21
"to decide, conjugated in past participle","avere deciso",8,10
"meeting, encounter","incontro",7,10
"son/daughter","figlio/figlia",9,10
"terrace","terrazza",9,10
"cup","tazza",8,10
"parents","i genitori",9,10
"late","tardi",9,10
"look, glance","sguardo",9,10
"here is","ecco",9,10
"to arrive","arrivare",9,10
"no smoking","vietato fumare",9,10
"in the hospital","in ospedale",10,10
"at the beach","in spiaggia",10,10
"above","sopra",21,29
"in front of","davanti a",11,14
"family","la famiglia",13,14
"to stay, conjugated in present tense","sto*stai*sta*stiamo*state*stanno",12,14
"narration, story","racconto",11,14
"to do","fare",12,14
"I'm hot","ho caldo",12,14
"your (plural)","vostro",14,18
"newness, novelty","novita",14,18
"upright, on one's feet","ritto",15,22
"chief, head","capo",3,3
"scoop (of gelato)","gusti",6,7
"who","chi",6,7
"available","disponible",6,7
"to wait, conjugated as past participle","avere aspettato",6,7
"awake","sveglio",2,3
"to look for, conjugated in imperative","-*cerca*cerchi*cerchiamo*cercate*cerchino",3,3
"to be, conjugated in conditional","sarei*saresti*sarebbe*saremmo*sareste*sarebbero",3,3
"sudden","improvviso",7,11
"to put on makeup","truccarsi",3,3
